month,Snowflake_Fivetran_Tableau,SQLServer_Fabric_PowerBI,Databricks_Airbyte_Tableau,BigQuery_Airbyte_Tableau,AWS_RDS_Redshift_QuickSight
1,33264.3046875,14045.0,18802.5,17188.75,4893.3075
2,33801.4622515625,14116.125,18962.337495,17329.606245,4963.5782625
3,34422.91768886719,14194.689375,19195.729305,17540.87746125,5040.7635016875
4,35004.160914477536,14274.743503125,19374.694828749998,17697.57817046875,5138.516224246562
5,35682.70511198425,14356.339525734375,19636.25414528125,17936.723403960157,5218.891292095192
6,36295.086739403705,14439.531409135077,19816.428037541093,18094.328720273763,5319.945487318523
7,37005.86553528283,14524.375008454805,20079.238016855033,18334.410223483344,5403.737579374672
8,37706.60142501773,14610.928133750724,20315.706343244958,18547.98457710526,5489.328394652785
9,38369.90072739335,14699.250618432,20497.85606163353,18707.069033678945,5595.780888465632
10,39133.36996135212,14789.404390077118,20762.711018965703,18948.681445032707,5685.16021956193
11,39833.66205299944,14881.453543729818,20946.295902279504,19108.84029325885,5795.533827246597
12,40635.43014285443,14975.46441776036,21212.636257759288,19351.56470242291,5888.971511200228
13,41430.350693354325,15071.505672381973,21452.75852580586,19567.874466032714,5984.545514092236
14,42191.12349662173,15169.648370915342,21638.69007215907,19729.790070293857,6101.330607085463
15,43055.47168250349,15269.966063897378,21907.459220109635,19974.332718179143,6201.404178333455
16,38331.58902689111,15372.534876133786,22095.09528883847,20137.524359340412,6322.846324575125
17,39047.9212603323,15477.43359679847,22365.628622922817,20383.38771089233,6427.739945935255
18,39754.41297694393,15584.743772686415,22610.090623050117,20602.94627909856,6554.170844042989
19,40465.666243636966,15700.549804730439,22845.51379298187,20810.22439699201,6669.627823584493
20,41250.29990966426,15818.939047896005,23136.931772811236,21073.247247961728,6806.8027974099505
21,42026.96611650251,15940.001914572365,23402.37938355963,21310.04090034039,6927.790895319298
22,42795.3173080801,16063.831981582398,23640.892658159217,21519.632328027303,7070.690576655474
23,43639.0557413629,16190.526100937783,23935.50889886979,21785.04945718326,7197.603746838415
24,44503.88399731061,16320.184514470604,24231.26670618023,22051.321184034674,7346.635877977759
25,45390.55449221648,16452.910972477075,24528.20603924654,22318.477423825887,7479.896133706981
26,46217.819989444055,16588.812856513774,24744.368247920167,22504.549130959793,7616.497498386725
27,47150.48311157459,16728.001306491755,25043.796136422374,22773.568350368387,7775.556910830261
28,48107.3468529797,16870.591352218966,25344.533998722156,23043.568240156277,7919.195402709319
29,49034.264092834,17016.70204954663,25591.62768567743,23259.58312556175,8085.5382418041445
30,50042.12110858318,17166.456621280762,25895.12465400114,23531.64853428141,8236.71508026729
31,51049.80458988359,17319.98260302559,26173.074012116183,23777.80122820626,8410.860108076644
32,52057.26765302952,17477.411994131482,26424.526597965247,23997.07926661848,8570.112211859327
33,53148.496855885554,17638.881413926087,26732.53502884403,24272.522040900123,8752.615139274403
34,54284.47921334155,17810.532263413497,27060.153753328574,24564.17031080663,8925.917669149007
35,55451.251713308506,17986.51089263297,27389.439130370072,24857.06626735986,9122.773787569222
36,56676.9013332743,18166.968773875124,27747.449495633027,25178.253582417456,9324.342870134145
37,57853.5485574389,18352.062680960753,28025.24522515518,25418.777454977066,9511.78987058884
38,59119.347394449265,18541.95487479438,28359.888806410614,25715.684664276265,9723.285516059448
39,60420.485395754986,18736.813295412183,28696.444911859984,26014.023624750935,9921.00650912153
40,61758.20017460641,18936.81176075161,29034.980480075083,26313.844447917214,10143.135736940781
41,63160.779425717636,19142.130172377914,29402.564794527712,26642.199001244317,10351.86248773371
42,64520.54444561775,19352.95472841114,29690.26956013618,26890.14096408787,10585.382674804388
43,65975.86665371437,19569.47814390553,30035.168992665946,27194.725895755942,10824.899068422543
44,67473.16761409437,19791.899878942226,30382.339906084257,27501.011300782404,11051.621535817332
45,69013.90255808768,20020.426374705203,30731.861797972204,27809.056691484788,11303.767289570937
46,70641.60990762075,20261.271297819883,31128.81695810123,28160.923672886755,11548.96114470592
47,72315.86179938748,20508.65579324358,31528.29055028477,28514.67600008779,11820.035784770627
48,73956.28060986604,20762.808746007104,31848.370717619742,28788.37965816586,12098.232037237598
49,75728.55548121134,21023.967052117354,32253.14869123643,29146.102944701666,12364.799158540913
50,77525.42584805375,21292.37589894146,32633.718892679706,29478.916545016225,12657.995129089844
51,79402.69796523562,21568.28905540441,33044.17905004849,29840.893620216793,12940.086958607988
52,81335.24493651887,21851.969172343564,33457.63031302519,30205.10989314938,13249.351002159266
53,83298.00674429703,22143.68809337559,33847.17737193107,30544.64373735961,13567.073287234842
54,85346.97378034744,22443.727176643733,34266.92857594866,30913.576264167194,13874.54985228806
55,87430.23637765959,22752.377627826263,34662.99607565686,31257.99143296305,14210.087097118143
56,89603.91884337769,23069.940844800178,35089.49593502985,31631.976129841754,14555.002145517275
57,91858.2454928959,23402.728774368185,35537.5482880559,32023.620289686216,14896.02322061038
58,94180.52418514725,23745.064281471074,35989.27747513785,32418.01699682523,15266.090033331742
59,96573.1298591274,24097.28153132256,36444.81218444268,32815.262589389116,15646.55418449835
60,99038.52107169687,24459.726384918846,36904.285608373175,33215.456777492735,16018.779580955794
