month,Snowflake_Fivetran_Tableau,Microsoft_SQL_Fabric_PowerBI,Databricks_AirbyteEnt_Tableau,BigQuery_AirbyteEnt_Tableau,AWS_RDS_Redshift_QuickSight
1,20636.8046875,14045.0,18332.0,17106.25,4888.4246875
2,20912.7178365625,14116.125,18492.119992,17254.718742,4958.5245515625
3,21265.422953867186,14194.689375,18725.391688,17473.86889425,5035.532910867188
4,21568.08775147754,14274.743503125,18904.337894,17638.72430246875,5133.102562747539
5,21957.885815354253,14356.339525734375,19165.982216329998,17886.309649095158,5213.2881524437025
6,22270.99681041665,14439.531409135077,19346.34908938155,18052.650482293488,5314.146237779232
7,22671.60669278123,14524.375008454805,19609.463804309904,18301.77324597376,5397.735356101505
8,23050.907914428575,14610.928133750724,19846.35253074075,18524.70530286284,5483.116093565058
9,23381.099680558575,14699.250618432,20029.042363516677,18693.47498266304,5589.351156839834
10,23799.388154903125,14789.404390077118,20294.56133851976,18945.111599336247,5678.505447329228
11,24141.986733274734,14881.453543729818,20478.93848160795,19115.645501553015,5788.646137985751
12,24573.11626563935,14975.46441776036,20746.20382670423,19369.10809234737,5881.842752815252
13,24984.005332011726,15071.505672381973,20987.38845907888,19596.53187401953,5977.167249163786
14,25346.890512482136,15169.648370915342,21174.524551866638,19769.95048633021,6093.694102884519
15,25799.01666669401,15269.966063897378,21444.64540386197,20026.39874603177,6193.500396485477
16,26176.6372381033,15372.534876133786,21633.78548663714,20201.91269578288,6314.665910362468
17,26644.014538361916,15477.43359679847,21905.98047702944,20460.52963849528,6419.273217225154
18,27092.420042179583,15584.743772686415,22152.26729104547,20693.288173162615,6545.407779828035
19,27538.134738030865,15700.549804730439,22389.18414323206,20914.22825622331,6660.558052122016
20,28047.449445086946,15818.939047896005,22682.270583565183,21191.391240511122,6797.4155839462865
21,28538.66517176499,15940.001914572365,22949.567551909964,21442.81993184901,6918.075129384407
22,29011.093441301764,16783.8319815824,23190.117410106814,21667.558623343728,7060.63475891286
23,29548.056704772323,16910.526100937783,23486.964015740552,21948.653171440757,7187.19597547481
24,30094.888676989354,17040.184514470606,23785.152749651472,22231.151025801184,7335.863834616428
25,30651.934775733982,17172.910972477075,24084.730593249275,22515.101309064226,7468.747068828004
26,31137.552484784672,17308.812856513774,24303.746159692997,22718.55485056147,7604.958216236983
27,31716.111821227136,17448.001306491755,24606.249775002252,23005.564270051123,7763.613753805278
28,32305.995727545083,17590.591352218966,24910.29351316733,23294.184015542913,7906.834235188462
29,32852.60056900916,17736.70204954663,25160.931281328187,23529.470451286918,8072.744433420058
30,33466.33658689948,17886.456621280762,25468.218875094673,23821.481916001958,8223.47348858976
31,34065.62835311596,18039.98260302559,25750.214028082988,24088.278775422026,8397.155060690402
32,34649.91533175002,18197.411994131482,26005.976511745892,24328.923525241797,8555.927487814564
33,35302.65236821127,18358.881413926087,26318.568189577,24626.48084854526,8737.933949888074
34,35986.310196523664,18530.532263413497,26650.553073772193,24941.017675804345,8910.722638134157
35,36684.376040426985,18706.51089263297,26984.49742443422,25257.603287537495,9107.046930468852
36,37424.354188941936,18886.968773875124,27347.46982740942,25603.30939572131,9308.065573035263
37,38097.7665770799,19072.062680960753,27630.541266848748,25869.210220051555,9494.942868091497
38,38842.15340240269,19261.95487479438,27970.78520858845,26192.38257515336,9705.848868474697
39,39603.07376316179,19456.813295412183,28313.277686449048,26517.905960843727,9902.959578871312
40,40381.10633377245,19656.81176075161,28658.097399554765,26845.862663553256,10124.457164131807
41,41203.85004840448,19862.130172377914,29032.325804779182,27203.33785301762,10332.530164876422
42,41962.924793498634,20072.95472841114,29327.047204426453,27481.419674353237,10565.373720647094
43,42795.97215504609,20289.47814390553,29679.348853261377,27817.1993596356,10804.189800869743
44,43648.6561764977,20511.899878942226,30034.321061005525,28155.771335102843,11030.187443900184
45,44521.66412820012,20740.426374705203,30392.05729042072,28497.233324111443,11281.58300443669
46,45459.707364287126,20981.271297819883,30797.154291105446,28883.686485975344,11526.000409591974
47,46419.52211798717,21228.65579324358,31205.212189134134,29273.23551082448,11796.271423927692
48,47319.87038634172,21482.808746007104,31534.33461267383,29583.98875062334,12073.635923765161
49,48325.54084536368,21743.967052117354,31948.628821717415,29980.058354495155,12339.342181096941
50,49328.3497667014,22012.37589894146,32339.205826077523,30352.560392502484,12631.647157435335
51,50383.141996910956,22288.28905540441,32760.180523790237,30755.61500004007,12912.81680794557
52,51463.791955477835,22571.969172343564,33184.671836082896,31162.346519001472,13221.126396223664
53,52544.204667769554,22863.68809337559,33585.802847065796,31545.883643886526,13537.860820091493
54,53679.31681914149,23163.727176643733,34017.700940313094,31960.359565022554,13844.314948794694
55,54816.09790646144,23472.377627826263,34426.497972504054,32351.912149078344,14178.793972002508
56,56009.55132336259,23789.940844800178,34866.330396301695,32774.684069056086,14522.613761022594
57,57250.71560558028,24122.728774368185,35327.83945265225,33216.823003953046,14862.501242658383
58,58523.66564277558,24465.064281471074,35793.67132869508,33663.481804291405,15231.394786151426
59,59829.51393329773,24817.28153132256,36263.97732147941,34114.8186637216,15610.644603666726
60,61169.41191338815,25179.726384918846,36738.91402369119,34570.99731291186,15981.61316479506
